wmo,cycle,lat,lon,rel_delta
5906339,140,13.572,-56.519000000000005,0.7919682430556471
5906488,93,-36.158,-45.71199999999999,-0.005862026166096317
5906488,95,-38.235,-47.22300000000001,0.40957994848719226
5906510,102,27.064,133.50599999999997,-0.1637175538481142
5906513,74,27.262,137.07799999999997,0.876141146263818
5906537,51,-11.507,58.285,0.6649442863945676
5906537,59,-11.239,58.45600000000002,0.7977324374237723
5906537,66,-11.664,58.97300000000001,0.7238692942402982
5906537,69,-11.529,58.476,0.3706987554464833
5906537,71,-11.282,58.38900000000001,0.606130250875402
5906537,72,-11.033,58.22300000000001,0.8403173472653532
5906537,73,-10.992,58.143,0.3274907263603761
5906537,74,-10.944,57.90699999999998,0.7114068180164144
5906537,85,-10.465,57.53800000000001,0.8996549010144973
5906537,87,-11.111,58.037000000000006,-1.8171879843679768
